id;date;immatriculation_vehicule;identite_conducteur;nombre_reparation;date_derniere_revision;etatvehicule;observations;statut_sup
1;2022-09-29T03:20:38;SCSI;optimizing;58047;2022-09-29;Operationel;../fake-data/blob/hipster.txt;true
2;2022-09-29T11:32:41;Up-sized auxiliary;revolutionary Dahomey;42853;2022-09-29;NonOperationel;../fake-data/blob/hipster.txt;false
3;2022-09-29T07:24:18;Generic User-friendly;c;63564;2022-09-29;NonOperationel;../fake-data/blob/hipster.txt;true
4;2022-09-28T18:52:30;Pizza Account monetize;Electronics c Metal;6334;2022-09-28;Operationel;../fake-data/blob/hipster.txt;true
5;2022-09-29T09:43:23;a Équateur whiteboard;groupware Monsieur-le-Prince deposit;20179;2022-09-28;NonOperationel;../fake-data/blob/hipster.txt;true
6;2022-09-29T13:35:07;deliverables Avon Computer;Loan redundant;27438;2022-09-28;NonOperationel;../fake-data/blob/hipster.txt;false
7;2022-09-29T08:34:52;Dollar;deliverables;69368;2022-09-28;NonOperationel;../fake-data/blob/hipster.txt;true
8;2022-09-28T22:21:54;fresh-thinking Loan;multi-byte;51546;2022-09-28;NonOperationel;../fake-data/blob/hipster.txt;false
9;2022-09-28T20:48:20;Manat Unbranded;Nesle;19964;2022-09-29;Operationel;../fake-data/blob/hipster.txt;false
10;2022-09-29T07:38:19;Manager;Open-source deposit Soudan;27337;2022-09-28;NonOperationel;../fake-data/blob/hipster.txt;false
