id;date;indentite_soumettant;fonction;designation;quantite;observation;statut_sup
1;2022-09-28T19:30:49;Soft interface;reboot Cedi Intelligent;hub transmit Account;73006;../fake-data/blob/hipster.txt;true
2;2022-09-29T14:38:35;Bike violet Paris;Concrete de;Fully-configurable;93917;../fake-data/blob/hipster.txt;false
3;2022-09-29T04:54:54;edge Marks;Savings digital;Technicien gold benchmark;48940;../fake-data/blob/hipster.txt;false
4;2022-09-29T04:20:08;turquoise;JBOD Electronics protocol;Norvège Berkshire solution;36780;../fake-data/blob/hipster.txt;false
5;2022-09-28T16:42:10;withdrawal;Érythrée Havre;Fresh pixel;66911;../fake-data/blob/hipster.txt;false
6;2022-09-28T22:22:08;ubiquitous empowering;Cotton Basse-Normandie bypassing;Future-proofed invoice functionalities;44501;../fake-data/blob/hipster.txt;true
7;2022-09-29T12:42:01;PNGXX;b Charlemagne;aXX;53761;../fake-data/blob/hipster.txt;false
8;2022-09-28T17:02:19;white Soft;1080p;partnerships navigating a;99215;../fake-data/blob/hipster.txt;false
9;2022-09-28T21:25:13;bypassing;Rubber;payment Soap;25877;../fake-data/blob/hipster.txt;false
10;2022-09-29T02:29:33;Provence-Alpes-Côte Practical;payment Sports streamline;quantifying;80433;../fake-data/blob/hipster.txt;false
