id;date;indentite_soumettant;fonction;designation;observation;statut_sup
1;2022-09-28T19:15:32;Granite indexing Generic;groupware;navigating Unbranded proactive;../fake-data/blob/hipster.txt;false
2;2022-09-29T12:10:54;world-class SMTP;repurpose Serbian;infrastructures;../fake-data/blob/hipster.txt;false
3;2022-09-29T12:48:02;a embrace Azerbaijanian;facilitate haptic;Specialiste;../fake-data/blob/hipster.txt;false
4;2022-09-28T21:48:47;Kwacha Sleek Convertible;morph extend;magenta input Zadkine;../fake-data/blob/hipster.txt;false
5;2022-09-29T04:13:00;Fresh Borders;c Soft;B2C hard;../fake-data/blob/hipster.txt;true
6;2022-09-29T13:38:02;Credit Stagiaire pixel;b haptic;Agent Executif interface;../fake-data/blob/hipster.txt;true
7;2022-09-29T02:32:00;cXXXX;Small;Dinar Coordinateur;../fake-data/blob/hipster.txt;true
8;2022-09-29T00:01:23;withdrawal demand-driven gold;Somalie;matrix Music;../fake-data/blob/hipster.txt;false
9;2022-09-28T18:38:16;Buckinghamshire;lavender;Bike zero Ergonomic;../fake-data/blob/hipster.txt;true
10;2022-09-28T18:44:15;Practical bleeding-edge Garden;maroon payment up;3rd yellow initiatives;../fake-data/blob/hipster.txt;false
