id;designation_matiere;quantite_livree;date_livree;statut_sup
1;Right-sized Cheese Market;32220;2022-09-28T19:51:00;true
2;Shirt;52837;2022-09-29T03:02:49;true
3;SMS;35254;2022-09-28T17:00:56;false
4;SCSI Persevering;56990;2022-09-29T11:57:53;false
5;expedite Basse-Normandie;35994;2022-09-29T07:24:50;true
6;capacity;73941;2022-09-28T19:41:05;false
7;optimizing Diverse Macédoine;29658;2022-09-29T11:59:29;false
8;quantifying Mandatory;57471;2022-09-29T10:29:10;false
9;Coordinateur implement Granite;42218;2022-09-28T17:17:40;false
10;Shirt;53216;2022-09-29T13:42:29;false
